table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",id,1,uuid,f,,Primary key. A UUIDv7 generated by the application.,NONE,Y,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",prisoner_number,2,character varying(7),f,,NOMIS offender number of the prisoner who was moved. The identifier that makes every row in this table personal data about that prisoner.,PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",booking_id,3,bigint,f,,"NOMIS booking id, the custody period the move belongs to. Resolved from prisoner-search, never accepted from the caller: prison-api still identifies a booking this way, but bookingId is not part of this service's API contract.",PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",bed_assignment_sequence,4,integer,t,,"Position of this move in the prisoner's bed assignment history, returned by prison-api once the move lands. Null while the movement is PENDING, and also null when the prisoner was already in the destination cell - prison-api treats that as a successful no-op.",PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",from_location_key,5,character varying(64),t,,"Where the prisoner was immediately before the move, as {prisonId}-{pathHierarchy}, as best the service knew at the time. prisoner-search is a near real-time projection rather than a live read, so this can lag, and it is null if it could not be resolved. Never treat it as authoritative - NOMIS validates the real state during the move.",PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",to_location_key,6,character varying(64),f,,"The cell the prisoner was moved to, as {prisonId}-{pathHierarchy}. Locates a named prisoner.",PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",reason_code,7,character varying(12),f,,"Why the prisoner was moved, as a CHG_HOUS_RSN code such as HOSP or VP. Also used as the case note subType, which is what caps it at 12 characters. Special category because of the values it takes, not the field itself: the vocabulary includes Healthcare, Vulnerable Prisoner and Someone's safety, so the code can reveal a named prisoner's health or safeguarding status. There is deliberately no check constraint - see reference-data.csv for the permitted values.",SPECIAL-CATEGORY,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",comment_text,8,text,t,,"The mover's free-text explanation. Always present for a CELL_MOVE, never present for a CELL_SWAP, because the swap journey does not ask for one. Deliberately unbounded: the case notes service is the source of truth for case note text and imposes no limit, so bounding it here would invent a constraint the system of record does not have. In practice it records violence, self harm, bullying and health, so treat it as Article 9 data whatever the question asked.",SPECIAL-CATEGORY,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",case_note_uuid,9,uuid,t,,"The case note created for this move, by its canonical UUID. Null for a cell swap, which creates none, and null on a CASE_NOTE_FAILED row.",NONE,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",case_note_legacy_id,10,bigint,t,,The numeric case note id. Exists for rows migrated from whereabouts and is not populated by this service - the case notes service is UUID canonical.,NONE,N,
